 Model	 Jan	 Feb	 Mar	 Apr	 May	 Jun	 Jul	 Aug	 Sep	 Oct	 Nov	 Dec
Mercedes-Benz GL 	- 	1,828 	1,981 	2,097 	2,178 	1,936 	- 	- 	- 	- 	- 	-
Mercedes-Benz GLA 	- 	1,224 	1,326 	1,679 	1,744 	1,550 	- 	- 	- 	- 	- 	-
Mercedes-Benz GLB 	- 	888 	962 	1,052 	1,092 	971 	- 	- 	- 	- 	- 	-
Mercedes-Benz GLC 	- 	4,166 	4,514 	5,516 	5,728 	5,091 	- 	- 	- 	- 	- 	-
Mercedes-Benz GLE 	- 	4,488 	4,862 	5,203 	5,403 	4,802 	- 	- 	- 	- 	- 	-
Mercedes-Benz Metris 	- 	67 	73 	36 	37 	33 	- 	- 	- 	- 	- 	-
Mercedes-Benz S-Class 	- 	705 	764 	684 	711 	632 	- 	- 	- 	- 	- 	-
Mercedes-Benz SL 	- 	81 	87 	125 	130 	116 	- 	- 	- 	- 	- 	-
Mercedes-Benz Sprinter 	- 	2,415 	2,616 	2,699 	2,803 	2,492 	- 	- 	- 	- 	- 	-
Mini Cooper 	1,261 	1,211 	1,312 	1,506 	1,564 	1,390 	1,354 	1,184 	1,409 	- 	- 	-
Mini Countryman 	1,064 	1,021 	1,107 	1,066 	1,107 	984 	1,140 	997 	1,186 	- 	- 	-
Mitsubishi Eclipse Cross 	1,244 	1,194 	1,293 	1,531 	1,590 	1,413 	1,398 	1,223 	1,455 	- 	- 	-
Mitsubishi Mirage 	2,434 	2,336 	2,531 	1,154 	1,199 	1,065 	948 	829 	987 	- 	- 	-
Mitsubishi Outlander 	3,997 	3,837 	4,157 	2,641 	2,742 	2,438 	3,336 	2,918 	3,472 	- 	- 	-
Mitsubishi Outlander PHEV 	568 	545 	590 	464 	482 	429 	- 	- 	- 	- 	- 	-
Mitsubishi Outlander Sport 	2,303 	2,211 	2,395 	1,678 	1,742 	1,548 	1,056 	924 	1,100 	- 	- 	-
Nissan Altima 	11,936 	11,459 	12,414 	8,880 	9,221 	8,197 	4,866 	4,256 	5,065 	- 	- 	-
Nissan Ariya 	1,383 	1,327 	1,438 	2,523 	2,620 	2,329 	1,101 	963 	1,146 	- 	- 	-
Nissan Armada 	1,303 	1,251 	1,355 	1,439 	1,494 	1,328 	1,522 	1,331 	1,584 	- 	- 	-
Nissan Frontier 	4,827 	4,634 	6,816 	5,442 	5,651 	5,023 	5,842 	5,110 	6,080 	- 	- 	-
Nissan GT-R 	11 	10 	11 	2 	2 	1 	1 	- 	1 	- 	- 	-
Nissan Kicks 	8,455 	8,117 	8,793 	8,451 	8,776 	7,801 	9,002 	7,873 	9,369 	- 	- 	-
Nissan Leaf 	774 	743 	805 	541 	562 	499 	248 	217 	258 	- 	- 	-
