https://www.goodcarbadcar.net/2025-u-s-auto-sales-figures-by-model-all-vehicle-ranked/
U.S Vehicle Model Sales by Month (All Models)
This sales data table looks at monthly sales performance for every model sold in the United States on a month to month basis for the entire year so far. It includes all major models sold in the U.S market and you can see that the monthly sales trends clearly. Seeing the individual model sales performance in this way gives you a good sense of the momentum (good or bad).

 Model	 Jan	 Feb	 Mar	 Apr	 May	 Jun	 Jul	 Aug	 Sep	 Oct	 Nov	 Dec
Lexus ES	2,273	2,905	4,020	3,377	3,517	-	-	-	-	-	-	-
Lexus GX	3,181	2,136	3,922	3,959	3,267	-	-	-	-	-	-	-
Lexus IS	1,275	1,365	2,139	1,984	1,785	-	-	-	-	-	-	-
Lexus LC	185	185	149	103	103	-	-	-	-	-	-	-
Lexus LS	143	137	140	111	93	-	-	-	-	-	-	-
Lexus LX	376	595	733	767	679	-	-	-	-	-	-	-
Lexus NX	5,573	5,342	7,077	7,077	6,957	-	-	-	-	-	-	-
Lexus RC	147	119	186	135	124	-	-	-	-	-	-	-
Lexus RX	6,521	7,743	10,452	-	8,859	-	-	-	-	-	-	-
Lexus RZ	263	486	705	651	911	-	-	-	-	-	-	-
Lexus TX	1,928	3,533	4,584	4,877	5,496	-	-	-	-	-	-	-
Lexus UX	753	784	988	928	884	-	-	-	-	-	-	-
Lincoln Aviator	1,434	1,357	1,978	2,795	2,749	-	-	-	-	-	-	-
Lincoln Corsair / MKC	1,683	1,921	2,636	2,234	2,483	-	-	-	-	-	-	-
Lincoln MKX/Nautilus	2,425	2,482	3,757	3,841	3,498	-	-	-	-	-	-	-
Lincoln Navigator	928	994	2,136	2,745	2,843	-	-	-	-	-	-	-
Lucid Air	800	768	832	-	-	-	-	-	-	-	-	-
Mazda 3	2,983	2,838	3,530	3,236	2,453	-	-	-	-	-	-	-
Mazda CX-30	6,657	5,709	8,666	6,261	4,329	-	-	-	-	-	-	-
Mazda CX-5	10,733	10,876	12,801	12,590	9,501	-	-	-	-	-	-	-
Mazda CX-50	6,335	7,280	9,687	7,753	7,188	-	-	-	-	-	-	-
Mazda CX-70	947	1,223	2,452	1,691	1,065	-	-	-	-	-	-	-
Mazda CX-90	5,345	4,769	5,039	5,402	4,046	-	-	-	-	-	-	-
Mazda MX-5 Miata	681	843	922	727	355	-	-	-	-	-	-	-
Mercedes-Benz AMG GT	-	262	284	-	-	-	-	-	-	-	-	-
Mercedes-Benz C-Class	-	2,388	2,586	-	-	-	-	-	-	-	-	-
Mercedes-Benz CLA	-	197	213	-	-	-	-	-	-	-	-	-
Mercedes-Benz CLE	-	794	860	-	-	-	-	-	-	-	-	-
Mercedes-Benz E-Class	-	1,170	1,267	-	-	-	-	-	-	-	-	-
Mercedes-Benz EQB	-	447	484	-	-	-	-	-	-	-	-	-
Mercedes-Benz EQE Sedan	-	307	332	-	-	-	-	-	-	-	-	-
Mercedes-Benz EQE SUV	-	1,111	1,204	-	-	-	-	-	-	-	-	-
Mercedes-Benz EQS SUV	-	514	557	-	-	-	-	-	-	-	-	-
Mercedes-Benz EQS-Sedan	-	252	274	-	-	-	-	-	-	-	-	-
Mercedes-Benz G-Class	-	728	789	-	-	-	-	-	-	-	-	-
Mercedes-Benz GL	-	1,828	1,981	-	-	-	-	-	-	-	-	-
Mercedes-Benz GLA	-	1,224	1,326	-	-	-	-	-	-	-	-	-
Mercedes-Benz GLB	-	888	962	-	-	-	-	-	-	-	-	-
Mercedes-Benz GLC	-	4,166	4,514	-	-	-	-	-	-	-	-	-
Mercedes-Benz GLE	-	4,488	4,862	-	-	-	-	-	-	-	-	-
Mercedes-Benz Metris	-	67	73	-	-	-	-	-	-	-	-	-
Mercedes-Benz S-Class	-	705	764	-	-	-	-	-	-	-	-	-
Mercedes-Benz SL	-	81	87	-	-	-	-	-	-	-	-	-
Mercedes-Benz Sprinter	-	2,415	2,616	-	-	-	-	-	-	-	-	-
Mini Cooper	1,261	1,211	1,312	-	-	-	-	-	-	-	-	-
Mini Countryman	1,064	1,021	1,107	-	-	-	-	-	-	-	-	-
Mitsubishi Eclipse Cross	1,244	1,194	1,293	-	-	-	-	-	-	-	-	-
Mitsubishi Mirage	2,434	2,336	2,531	-	-	-	-	-	-	-	-	-
Mitsubishi Outlander	3,997	3,837	4,157	-	-	-	-	-	-	-	-	-
Mitsubishi Outlander PHEV	568	545	590	-	-	-	-	-	-	-	-	-
Mitsubishi Outlander Sport	2,303	2,211	2,395	-	-	-	-	-	-	-	-	-
Nissan Altima	11,936	11,459	12,414	-	-	-	-	-	-	-	-	-
Nissan Ariya	1,383	1,327	1,438	-	-	-	-	-	-	-	-	-
Nissan Armada	1,303	1,251	1,355	-	-	-	-	-	-	-	-	-
Nissan Frontier	4,827	4,634	6,816	-	-	-	-	-	-	-	-	-
Nissan GT-R	11	10	11	-	-	-	-	-	-	-	-	-
Nissan Kicks	8,455	8,117	8,793	-	-	-	-	-	-	-	-	-
Nissan Leaf	774	743	805	-	-	-	-	-	-	-	-	-
Nissan Maxima	22	-	-	-	-	-	-	-	-	-	-	-
Nissan Murano	2,901	2,785	3,017	-	-	-	-	-	-	-	-	-
Nissan Pathfinder	6,554	6,292	-	-	-	-	-	-	-	-	-	-
Nissan Rogue	20,701	19,873	21,529	-	-	-	-	-	-	-	-	-
Nissan Sentra	18,179	17,451	18,906	-	-	-	-	-	-	-	-	-
Nissan Titan	519	498	-	-	-	-	-	-	-	-	-	-
Nissan Versa	6,377	6,122	6,632	-	-	-	-	-	-	-	-	-
Nissan Z	718	689	747	-	-	-	-	-	-	-	-	-
Polestar Polestar 2	50	48	52	-	-	-	-	-	-	-	-	-
Polestar Polestar 3	500	480	520	-	-	-	-	-	-	-	-	-
Porsche 718	266	-	276	-	-	-	-	-	-	-	-	-
Porsche 911	643	-	669	-	-	-	-	-	-	-	-	-
Porsche Cayenne	1,087	-	1,130	-	-	-	-	-	-	-	-	-
Porsche Macan	1,890	-	1,966	-	-	-	-	-	-	-	-	-
Porsche Panamera	174	-	181	-	-	-	-	-	-	-	-	-
Porsche Taycan	416	-	432	-	-	-	-	-	-	-	-	-
Ram Pickup	26,283	25,231	27,334	-	-	-	-	-	-	-	-	-
Ram ProMaster	5,173	4,966	5,380	-	-	-	-	-	-	-	-	-
Ram ProMaster City	1	-	-	-	-	-	-	-	-	-	-	-
Rivian EDV	633	608	659	-	-	-	-	-	-	-	-	-
Rivian R1S	1,833	1,760	1,907	-	-	-	-	-	-	-	-	-
Rivian R1T	533	512	555	-	-	-	-	-	-	-	-	-
Rivian RCV	33	32	35	-	-	-	-	-	-	-	-	-
Subaru Ascent	3,113	3,382	4,584	3,758	3,547	-	-	-	-	-	-	-
Subaru BRZ	224	244	334	331	326	-	-	-	-	-	-	-
Subaru CrossTrek	12,625	12,818	18,169	14,935	15,793	-	-	-	-	-	-	-
Subaru Forester	12,948	14,347	22,570	19,330	15,434	-	-	-	-	-	-	-
Subaru Impreza	2,429	2,429	3,049	2,559	2,457	-	-	-	-	-	-	-
Subaru Legacy	1,596	1,664	2,540	1,876	1,793	-	-	-	-	-	-	-
Subaru Outback	10,794	11,601	17,539	11,501	11,214	-	-	-	-	-	-	-
Subaru Solterra	1,052	925	1,154	949	1,246	-	-	-	-	-	-	-
Subaru WRX	1,573	1,715	1,539	772	482	-	-	-	-	-	-	-
